Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.000989737122	0.000989737122	0.000989737122	0.000989737122	0	0	0	0	0	0	3
2	2	0	0.05	3.79248154e-06	0.000496764802	3.79248154e-06	0.000989737122	0.00049297232	0	0	0	0	0	3
3	2	0	0.075	-4.95011615e-06	0.000329526496	-4.95011615e-06	0.000989737122	0.000660210626	0	0	0	0	0	3
4	2	0	0.1	-2.93198254e-06	0.000246411876	-4.95011615e-06	0.000989737122	0.000743325245	0	0	0	0	0	3
5	2	0	0.125	-2.22866252e-06	0.000196683768	-4.95011615e-06	0.000989737122	0.000793053353	0	0	0	0	0	3
6	2	0	0.15	4.66089707e-06	0.000164679957	-4.95011615e-06	0.000989737122	0.000825057165	0	0	0	0	0	3
7	3	0	0.175	5.23496935e-06	0.000141902101	-4.95011615e-06	0.000989737122	0.00084783502	0	0	0	0	0	3
8	3	0	0.2	9.89918072e-06	0.000125401736	-4.95011615e-06	0.000989737122	0.000864335385	0	0	0	0	0	3
9	3	0	0.225	5.44853319e-06	0.000112073602	-4.95011615e-06	0.000989737122	0.000877663519	0	0	0	0	0	3
10	3	0	0.25	7.50383739e-06	0.000101616626	-4.95011615e-06	0.000989737122	0.000888120496	0	0	0	0	0	3
11	3	0	0.275	6.22374316e-06	9.29445457e-05	-4.95011615e-06	0.000989737122	0.000896792576	0	0	0	0	0	3
12	3	0	0.3	9.3976749e-06	8.59823065e-05	-4.95011615e-06	0.000989737122	0.000903754815	0	0	0	0	0	3
13	3	0	0.325	-2.18858991e-06	7.91999298e-05	-4.95011615e-06	0.000989737122	0.000910537192	0	0	0	0	0	3
14	4	0	0.35	-5.61062418e-06	7.31420331e-05	-5.61062418e-06	0.000989737122	0.000916595088	0	0	0	0	0	3
15	4	0	0.375	7.41808376e-06	6.87604365e-05	-5.61062418e-06	0.000989737122	0.000920976685	0	0	0	0	0	3
16	4	0	0.4	7.74099687e-06	6.49467215e-05	-5.61062418e-06	0.000989737122	0.0009247904	0	0	0	0	0	3
17	4	0	0.425	-2.07827926e-05	5.99038089e-05	-2.07827926e-05	0.000989737122	0.000929833313	0	0	0	0	0	3
18	4	0	0.45	-6.49582319e-06	5.62149405e-05	-2.07827926e-05	0.000989737122	0.000933522181	0	0	0	0	0	3
19	4	0	0.475	-4.10314835e-07	5.32346639e-05	-2.07827926e-05	0.000989737122	0.000936502458	0	0	0	0	0	3
20	5	0	0.5	1.24540604e-05	5.11956337e-05	-2.07827926e-05	0.000989737122	0.000938541488	0	0	0	0	0	3
21	5	0	0.525	-6.80229329e-07	1.67476615e-06	-2.07827926e-05	1.24540604e-05	3.3236853e-05	0	0	0	0	0	3
22	5	0	0.55	-2.70446251e-06	1.34991895e-06	-2.07827926e-05	1.24540604e-05	3.3236853e-05	0	0	0	0	0	3
23	5	0	0.575	-2.77374924e-05	2.10550136e-07	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
24	5	0	0.6	-1.76567071e-05	-5.25686093e-07	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
25	5	0	0.625	-2.84393498e-06	-5.56449716e-07	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
26	5	0	0.65	-5.71427083e-06	-1.07520811e-06	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
27	5	0	0.675	5.52974666e-06	-1.06046925e-06	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
28	6	0	0.7	5.5892534e-06	-1.27596561e-06	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
29	6	0	0.725	-7.47232998e-06	-1.92200877e-06	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
30	6	0	0.75	-1.43107446e-05	-3.01273787e-06	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
31	6	0	0.775	-7.64888843e-06	-3.70636945e-06	-2.77374924e-05	1.24540604e-05	4.01915528e-05	0	0	0	0	0	3
32	6	0	0.8	-6.05821646e-05	-7.20536142e-06	-6.05821646e-05	1.24540604e-05	7.3036225e-05	0	0	0	0	0	3
33	6	0	0.825	-2.70394287e-05	-8.44790336e-06	-6.05821646e-05	1.24540604e-05	7.3036225e-05	0	0	0	0	0	3
34	6	0	0.85	-4.33863985e-05	-1.03366921e-05	-6.05821646e-05	1.24540604e-05	7.3036225e-05	0	0	0	0	0	3
35	6	0	0.875	-7.99416451e-06	-1.11073045e-05	-6.05821646e-05	1.24540604e-05	7.3036225e-05	0	0	0	0	0	3
36	7	0	0.9	-1.2623691e-05	-1.21255389e-05	-6.05821646e-05	1.24540604e-05	7.20293478e-05	0	0	0	0	0	3
37	7	0	0.925	-9.81433165e-06	-1.15771158e-05	-6.05821646e-05	1.24540604e-05	6.83404794e-05	0	0	0	0	0	3
38	7	0	0.95	-1.21930619e-05	-1.18619778e-05	-6.05821646e-05	1.24540604e-05	6.53602028e-05	0	0	0	0	0	3
39	7	0	0.975	6.44977023e-06	-1.15189735e-05	-6.05821646e-05	1.24540604e-05	6.33211726e-05	0	0	0	0	0	3
40	7	0	1	2.542565e-05	-1.0870394e-05	-6.05821646e-05	2.542565e-05	1.3800305e-05	0.379488691	0	100	0	0	3
41	7	0	1.025	1.94213461e-05	-9.86531527e-06	-6.05821646e-05	2.542565e-05	1.34754578e-05	0.378185223	0	100	0	0	3
42	7	0	1.05	0.000124581596	-3.50101235e-06	-6.05821646e-05	0.000124581596	1.2336089e-05	0.378598365	0	100	0	0	3
43	8	0	1.075	6.25575582e-05	1.01374018e-06	-6.05821646e-05	0.000124581596	1.31392791e-05	0.377247795	0	100	0	0	3
44	8	0	1.1	7.5770611e-05	4.57359117e-06	-6.05821646e-05	0.000124581596	1.66991301e-05	0.377577116	0	100	0	0	3
45	8	0	1.125	8.89145443e-05	9.64841267e-06	-6.05821646e-05	0.000124581596	2.17739516e-05	0.377779161	0	100	0	0	3
46	8	0	1.15	7.55832189e-05	1.3383039e-05	-6.05821646e-05	0.000124581596	2.55085779e-05	0.377825859	0	100	0	0	3
47	8	0	1.175	6.32981675e-05	1.66693456e-05	-6.05821646e-05	0.000124581596	2.87948845e-05	0.377967984	0	100	0	0	3
48	8	0	1.2	6.02179217e-05	1.92735444e-05	-6.05821646e-05	0.000124581596	3.13990833e-05	0.378129905	0	100	0	0	3
49	8	0	1.225	5.00801468e-06	1.92458664e-05	-6.05821646e-05	0.000124581596	3.13990833e-05	0.378185657	0	100	0	0	3
50	9	0	1.25	1.75241421e-06	1.96851399e-05	-6.05821646e-05	0.000124581596	3.18106788e-05	0.381010486	0	100	0	0	3
51	9	0	1.275	0.000115674926	2.58749338e-05	-6.05821646e-05	0.000124581596	3.80004727e-05	0.381297156	0	100	0	0	3
52	9	0	1.3	0.00011072977	3.15120128e-05	-6.05821646e-05	0.000124581596	4.36375516e-05	0.381451214	0	100	0	0	3
53	9	0	1.325	9.03156572e-05	3.86976233e-05	-4.33863985e-05	0.000124581596	5.08231622e-05	0.379053185	0	100	0	0	3
54	9	0	1.35	9.57331395e-06	4.04410873e-05	-4.33863985e-05	0.000124581596	5.25666261e-05	0.381482777	0	100	0	0	3
55	9	0	1.375	4.66357376e-05	4.47278556e-05	-1.2623691e-05	0.000124581596	5.68533945e-05	0.381569243	0	100	0	0	3
56	9	0	1.4	7.37792889e-05	4.86218296e-05	-1.2623691e-05	0.000124581596	6.07473685e-05	0.379147359	0	100	0	0	3
57	9	0	1.425	2.1596185e-06	4.93257967e-05	-1.21930619e-05	0.000124581596	6.11877745e-05	0.381503524	0	100	0	0	3
58	10	0	1.45	7.67811517e-06	5.01587704e-05	-1.21930619e-05	0.000124581596	6.20207482e-05	0.384188628	0	100	0	0	3
59	10	0	1.475	2.32914974e-05	5.18485113e-05	1.75241421e-06	0.000124581596	6.33674848e-05	0.384440534	0	100	0	0	3
