Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	730957.318	730957.318	730957.318	730957.318	0	0	0	0	0	0	3
2	2	0	0.05	286943.75	508950.534	286943.75	730957.318	222006.784	0	0	0	0	0	3
3	2	0	0.075	254979.002	424293.357	254979.002	730957.318	306663.961	0	0	0	0	0	3
4	2	0	0.1	220679.185	373389.814	220679.185	730957.318	357567.504	0	0	0	0	0	3
5	2	0	0.125	233442.765	345400.404	220679.185	730957.318	385556.914	0	0	0	0	0	3
6	2	0	0.15	229786.267	326131.381	220679.185	730957.318	404825.937	0	0	0	0	0	3
7	3	0	0.175	239743.209	313790.214	220679.185	730957.318	417167.104	0	0	0	0	0	3
8	3	0	0.2	245012.768	305193.033	220679.185	730957.318	425764.285	0	0	0	0	0	3
9	3	0	0.225	251989.757	299281.558	220679.185	730957.318	431675.76	0	0	0	0	0	3
10	3	0	0.25	259301.328	295283.535	220679.185	730957.318	435673.783	0	0	0	0	0	3
11	3	0	0.275	268140.019	292815.943	220679.185	730957.318	438141.375	0	0	0	0	0	3
12	3	0	0.3	276190.976	291430.529	220679.185	730957.318	439526.789	0	0	0	0	0	3
13	3	0	0.325	285589.319	290981.205	220679.185	730957.318	439976.113	0	0	0	0	0	3
14	4	0	0.35	291857.998	291043.833	220679.185	730957.318	439976.113	0	0	0	0	0	3
15	4	0	0.375	300295.777	291660.629	220679.185	730957.318	439976.113	0	0	0	0	0	3
16	4	0	0.4	307323.868	292639.582	220679.185	730957.318	439976.113	0	0	0	0	0	3
17	4	0	0.425	318140.121	294139.613	220679.185	730957.318	439976.113	0	0	0	0	0	3
18	4	0	0.45	329340.821	296095.236	220679.185	730957.318	439976.113	0	0	0	0	0	3
19	4	0	0.475	335301.986	298158.749	220679.185	730957.318	439976.113	0	0	0	0	0	3
20	5	0	0.5	339878.788	300244.751	220679.185	730957.318	439976.113	0	0	0	0	0	3
21	5	0	0.525	343883.727	280891.072	220679.185	343883.727	123204.541	0	0	0	0	0	3
22	5	0	0.55	348017.34	283944.751	220679.185	348017.34	127338.154	0	0	0	0	0	3
23	5	0	0.575	351270.675	288759.335	220679.185	351270.675	92498.7424	0	0	0	0	0	3
24	5	0	0.6	353158.238	295383.287	229786.267	353158.238	64509.3326	0	0	0	0	0	3
25	5	0	0.625	354247.943	301423.546	229786.267	354247.943	45240.3098	0	0	0	0	0	3
26	5	0	0.65	352900.184	307579.242	239743.209	354247.943	32899.1423	0	0	0	0	0	3
27	5	0	0.675	352119.499	313198.057	245012.768	354247.943	32306.985	0	0	0	0	0	3
28	6	0	0.7	352199.781	318557.407	251989.757	354247.943	37666.3357	0	0	0	0	0	3
29	6	0	0.725	351968.186	323556.329	259301.328	354247.943	42665.2572	0	0	0	0	0	3
30	6	0	0.75	352777.971	328230.161	268140.019	354247.943	47339.0893	0	0	0	0	0	3
31	6	0	0.775	352307.082	332438.514	276190.976	354247.943	51547.4425	0	0	0	0	0	3
32	6	0	0.8	352316.568	336244.794	285589.319	354247.943	55353.7221	0	0	0	0	0	3
33	6	0	0.825	352193.857	339575.021	291857.998	354247.943	58683.949	0	0	0	0	0	3
34	6	0	0.85	352028.706	342583.556	300295.777	354247.943	53952.1666	0	0	0	0	0	3
35	6	0	0.875	351865.296	345162.032	307323.868	354247.943	46924.075	0	0	0	0	0	3
36	7	0	0.9	351645.621	347378.12	318140.121	354247.943	36107.8222	0	0	0	0	0	3
37	7	0	0.925	351756.173	349058.922	329340.821	354247.943	24907.1228	0	0	0	0	0	3
38	7	0	0.95	352217.156	350202.739	335301.986	354247.943	18945.9577	0	0	0	0	0	3
39	7	0	0.975	352767.789	351076.029	339878.788	354247.943	14369.1551	0	0	0	0	0	3
40	7	0	1	353392.269	351751.703	343883.727	354247.943	10364.2164	20035.3137	0	100	0	0	3
41	7	0	1.025	353823.939	352248.714	348017.34	354247.943	6230.60373	20035.3137	0	100	0	0	3
42	7	0	1.05	354349.433	352565.318	351270.675	354349.433	3078.75853	20042.9254	0	100	0	0	3
43	8	0	1.075	354918.295	352747.699	351645.621	354918.295	3272.67421	20073.9058	0	100	0	0	3
44	8	0	1.1	355552.555	352881.264	351645.621	355552.555	3906.93385	20035.3137	0	100	0	0	3
45	8	0	1.125	356090.181	353020.88	351645.621	356090.181	4444.56013	20035.3137	0	100	0	0	3
46	8	0	1.15	356441.672	353125.344	351645.621	356441.672	4796.05032	20035.3137	0	100	0	0	3
47	8	0	1.175	356753.369	353308.829	351645.621	356753.369	5107.74819	20035.3137	0	100	0	0	3
48	8	0	1.2	357119.477	353546.923	351645.621	357119.477	5473.85542	20035.3137	0	100	0	0	3
49	8	0	1.225	357403.757	353794.731	351645.621	357403.757	5758.13553	20035.3137	0	100	0	0	3
50	9	0	1.25	357715.51	354068.413	351645.621	357715.51	6069.88849	20035.3137	0	100	0	0	3
51	9	0	1.275	358004.405	354317.291	351645.621	358004.405	6358.78378	20035.3137	0	100	0	0	3
52	9	0	1.3	358320.35	354603.637	351645.621	358320.35	6674.72838	20035.3137	0	100	0	0	3
53	9	0	1.325	358564.529	354901.159	351645.621	358564.529	6918.90799	20035.3137	0	100	0	0	3
54	9	0	1.35	358676.689	355209.865	351645.621	358676.689	7031.06736	20035.3137	0	100	0	0	3
55	9	0	1.375	358784.846	355531.586	351645.621	358784.846	7139.22504	20035.3137	0	100	0	0	3
56	9	0	1.4	358871.291	355865.205	351645.621	358871.291	7225.66974	20035.3137	0	100	0	0	3
57	9	0	1.425	358840.353	356207.811	351756.173	358871.291	7115.11764	20035.3137	0	100	0	0	3
58	10	0	1.45	358871.019	356546.614	352217.156	358871.291	6343.8746	20035.3137	0	100	0	0	3
59	10	0	1.475	358973.96	356868.366	352767.789	358973.96	5792.33701	20035.3137	0	100	0	0	3
