Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.19869	293.19869	293.19869	293.19869	0	0	0	0	0	0	3
2	2	0	0.05	293.198584	293.198637	293.198584	293.19869	5.26003639e-05	0	0	0	0	0	3
3	2	0	0.075	293.198466	293.19858	293.198466	293.19869	0.00010951614	0	0	0	0	0	3
4	2	0	0.1	293.198428	293.198542	293.198428	293.19869	0.000147563811	0	0	0	0	0	3
5	2	0	0.125	293.198324	293.198498	293.198324	293.19869	0.000191178787	0	0	0	0	0	3
6	2	0	0.15	293.198149	293.19844	293.198149	293.19869	0.000249351437	0	0	0	0	0	3
7	3	0	0.175	293.19789	293.198362	293.19789	293.19869	0.000327903752	0	0	0	0	0	3
8	3	0	0.2	293.197558	293.198261	293.197558	293.19869	0.000428347663	0	0	0	0	0	3
9	3	0	0.225	293.197154	293.198138	293.197154	293.19869	0.000551384051	0	0	0	0	0	3
10	3	0	0.25	293.196681	293.197992	293.196681	293.19869	0.000697130176	0	0	0	0	0	3
11	3	0	0.275	293.195908	293.197803	293.195908	293.19869	0.000886605722	0	0	0	0	0	3
12	3	0	0.3	293.194505	293.197528	293.194505	293.19869	0.00116146198	0	0	0	0	0	3
13	3	0	0.325	293.192899	293.197172	293.192899	293.19869	0.0015175328	0	0	0	0	0	3
14	4	0	0.35	293.192122	293.196811	293.192122	293.19869	0.00187824641	0	0	0	0	0	3
15	4	0	0.375	293.190997	293.196424	293.190997	293.19869	0.0022659045	0	0	0	0	0	3
16	4	0	0.4	293.190764	293.19607	293.190764	293.19869	0.00261966225	0	0	0	0	0	3
17	4	0	0.425	293.189842	293.195704	293.189842	293.19869	0.00298598873	0	0	0	0	0	3
18	4	0	0.45	293.188956	293.195329	293.188956	293.19869	0.00336086395	0	0	0	0	0	3
19	4	0	0.475	293.189268	293.19501	293.188956	293.19869	0.0036798289	0	0	0	0	0	3
20	5	0	0.5	293.189915	293.194755	293.188956	293.19869	0.00393456654	0	0	0	0	0	3
21	5	0	0.525	293.191493	293.194395	293.188956	293.198584	0.00424180541	0	0	0	0	0	3
22	5	0	0.55	293.193071	293.19412	293.188956	293.198466	0.00446057427	0	0	0	0	0	3
23	5	0	0.575	293.194811	293.193937	293.188956	293.198428	0.00460528757	0	0	0	0	0	3
24	5	0	0.6	293.196817	293.193856	293.188956	293.198324	0.0046422319	0	0	0	0	0	3
25	5	0	0.625	293.19894	293.193887	293.188956	293.19894	0.00458405925	0	0	0	0	0	3
26	5	0	0.65	293.202547	293.194107	293.188956	293.202547	0.00450550694	0	0	0	0	0	3
27	5	0	0.675	293.205766	293.194501	293.188956	293.205766	0.00440506303	0	0	0	0	0	3
28	6	0	0.7	293.208578	293.195052	293.188956	293.208578	0.00428202664	0	0	0	0	0	3
29	6	0	0.725	293.211235	293.195756	293.188956	293.211235	0.00413628052	0	0	0	0	0	3
30	6	0	0.75	293.213483	293.196596	293.188956	293.213483	0.00394680497	0	0	0	0	0	3
31	6	0	0.775	293.216817	293.197641	293.188956	293.216817	0.0037850517	0	0	0	0	0	3
32	6	0	0.8	293.219659	293.198899	293.188956	293.219659	0.0050427532	0	0	0	0	0	3
33	6	0	0.825	293.222163	293.200362	293.188956	293.222163	0.00650594637	0	0	0	0	0	3
34	6	0	0.85	293.224336	293.201973	293.188956	293.224336	0.00811666202	0	0	0	0	0	3
35	6	0	0.875	293.226195	293.203733	293.188956	293.226195	0.00987660451	0	0	0	0	0	3
36	7	0	0.9	293.228444	293.205617	293.188956	293.228444	0.011760604	0	0	0	0	0	3
37	7	0	0.925	293.230204	293.207635	293.188956	293.230204	0.0137786911	0	0	0	0	0	3
38	7	0	0.95	293.231599	293.209767	293.189268	293.231599	0.0159108473	0	0	0	0	0	3
39	7	0	0.975	293.232738	293.211941	293.189915	293.232738	0.0180843012	0	0	0	0	0	3
40	7	0	1	293.233679	293.214129	293.191493	293.233679	0.0202724769	0.00670840139	0	33	0	0	3
41	7	0	1.025	293.234826	293.216295	293.193071	293.234826	0.022439147	0.0068805539	0	30.6	0	0	3
42	7	0	1.05	293.23572	293.218428	293.194811	293.23572	0.024571611	0.00694758671	0	28.2	0	0	3
43	8	0	1.075	293.236408	293.220508	293.196817	293.236408	0.0266514428	0.00700431502	0	26.2	0	0	3
44	8	0	1.1	293.236943	293.22129	293.196817	293.236943	0.0274340813	0.00705275561	0	25.7	0	0	3
45	8	0	1.125	293.23739	293.223222	293.19894	293.23739	0.0293353346	0.00709522651	0	24.1	0	0	3
46	8	0	1.15	293.237775	293.225072	293.202547	293.237775	0.0309647196	0.0071331597	0	23	0	0	3
47	8	0	1.175	293.238081	293.226764	293.205766	293.238081	0.0322630163	0.00716680801	0	22.2	0	0	3
